Area (m2);Depth (Thickness) (m);Attached;Channel;Names;Equation
142212.0474;192;0;Valley;Channel;T=0.45A^(0.48)
370942.5575;235;0;Valley;Valley;
472616.084;265;0;Valley;Channel/Valley complex;
175644.2215;194;0;Valley;;
363158.8959;250;0;Valley;;
567870.071;300;0;Valley;;
1338263.022;540;0;Valley;;
975687.1128;415;0;Valley;;
2072868.622;475;0;Valley;;
5335116.232;920;0;Valley;;
3325201.36;680;0;Valley;;
1615299.535;360;0;Valley;;
3413818.928;460;0;Valley;;
5449476.932;1000;0;Valley;;
12718411.4;1090;0;Valley;;
1564434.521;363;0;Valley;;
2063442.791;314;0;Valley;;
3133083.887;578;0;Valley;;
551343.8518;260;0;Valley;;
18076902.65;914;0;Valley;;
1109572.488;333.3153355;0;Valley;;
43587190.6;1279.146363;0;Valley;;
37652168.48;1983.032545;0;Valley;;
27578142.32;1208.900827;0;Valley;;
3481109.912;869.9566702;0;Valley;;
16304541.38;1567.215151;0;Valley;;
11501948.84;947.518324;0;Valley;;
7511547.875;1043.302782;0;Valley;;
4817332.754;937.3675472;0;Valley;;
1533288.268;674.8376821;0;Valley;;
6123320.884;978.7670586;0;Valley;;
3981026.698;732.0437887;0;Valley;;
3525570.874;620.182768;0;Valley;;
3577554.634;422.9850303;0;Valley;;
461603.6395;349.526882;0;Valley;;
425844.0742;376.3751468;0;Valley;;
350425.2417;334.9216419;0;Valley;;
230749.2259;304.0103668;0;Valley;;
130357.9019;215.2585613;0;Valley;;
168176.7785;218.3631872;0;Valley;;
40954.22418;102.7496187;0;Valley;;
82384.26133;164.3696935;0;Valley;;
76944.46231;139.08724;0;Valley;;
144965.3089;154.6103695;0;Valley;;
895533.3819;453.7208266;0;Valley;;
1078004.865;600.9880809;0;Valley;;
469774.1975;380.7891149;0;Valley;;
143855.5645;224.2214813;0;Valley;;
80879.62173;144.7295601;0;Valley;;
98938.72245;173.6835711;0;Valley;;
120081.3149;188.1133323;0;Valley;;
467447.8084;281.1306238;0;Valley;;
245824.1737;220.6174156;0;Valley;;
190604.3976;218.1472133;0;Valley;;
37331.27489;90.5875842;0;Valley;;
178225.5715;197.2652295;0;Valley;;
317906.2663;251.0967428;0;Valley;;
