Area (m2);Width (m);Attached;Channel;Architectural type;Equation
142212,0474;1370;0;;Channel;W=4.88A^(0.51), R2=0.92
370942,5575;3860;0;;Valley;
472616,084;3240;0;;Channel/Valley complex;
175644,2215;1610;0;;;
363158,8959;2610;0;;;
567870,071;3260;0;;;
1338263,022;4500;0;;;
975687,1128;4200;0;;;
2072868,622;5900;0;;;
5335116,232;11350;0;;;
3325201,36;9300;0;;;
1615299,535;8560;0;;;
3413818,928;14300;0;;;
5449476,932;12000;0;;;
12718411,4;17650;0;;;
1564434,521;7980;0;;;
2063442,791;10770;0;;;
3133083,887;10287;0;;;
551343,8518;4300;0;;;
18076902,65;31295;0;;;
1109572,488;7579,471674;0;;;
43587190,6;56931,68473;0;;;
37652168,48;37892,49895;0;;;
27578142,32;38624,24578;0;;;
3481109,912;8312,568336;0;;;
16304541,38;29761,21377;0;;;
11501948,84;20457,99981;0;;;
7511547,875;15974,38009;0;;;
4817332,754;10860,38632;0;;;
1533288,268;5961,421649;0;;;
6123320,884;14362,94427;0;;;
3981026,698;13206,26864;0;;;
3525570,874;12343,18265;0;;;
3577554,634;12914,16384;0;;;
461603,6395;2660,529406;0;;;
425844,0742;2468,447552;0;;;
350425,2417;2164,869133;0;;;
230749,2259;1789,344384;0;;;
130357,9019;1480,771567;0;;;
168176,7785;1614,27048;0;;;
40954,22418;831,0948531;0;;;
82384,26133;1505,743558;0;;;
76944,46231;1658,680129;0;;;
144965,3089;1952,809686;0;;;
895533,3819;4349,040941;0;;;
1078004,865;4409,108702;0;;;
469774,1975;2871,508983;0;;;
143855,5645;1518,567013;0;;;
80879,62173;1474,292348;0;;;
98938,72245;1379,938717;0;;;
120081,3149;1775,711027;0;;;
467447,8084;2874,883577;0;;;
245824,1737;2042,978821;0;;;
190604,3976;1781,110376;0;;;
37331,27489;779,3960828;0;;;
178225,5715;1899,356128;0;;;
317906,2663;2158,389914;0;;;
288042,9992;1944,575679;0;;;
202837,4953;1933,911964;0;;;
126056,7816;1301,378184;0;;;
171268,0323;1566,081287;0;;;
181575,3392;2165,544052;0;;;
197784,2829;1882,483161;0;;;
228353,9266;1757,893174;0;;;
220941,9654;2036,229634;0;;;
253743,2691;2566,31076;0;;;
351439,7469;2806,311839;0;;;
106309,7237;1526,261086;0;;;
170077,7528;1778,140734;0;;;
703187,1488;4547,46703;0;;;
1645432,868;6593,28051;0;;;
2520608,218;8575,651634;0;;;
1165830,474;5331,317576;0;;;
703087,8647;4599,975703;0;;;
3398765,426;9886,208712;0;;;
4964593,35;12019,76162;0;;;
2980372,433;8561,748309;0;;;
8438689,876;14216,6219;0;;;
26002117,14;25085,78216;0;;;
1489441,139;4500,627674;0;;;
479658,349;3823;0;;;
495329,7666;3662;0;;;
177554,6158;2356;0;;;
66373,59426;1405,990578;0;;;
428465,4549;5175;0;;;
167807,9388;2158;0;;;
122687,7912;1280;0;;;
904274,1721;4300;0;;;
144165,8979;2869;0;;;
941219,9535;7382;0;;;
;2485;0;;;
;2997;0;;;
;2933;0;;;
;2235;0;;;
;2696;0;;;
;3340;0;;;
;3051;0;;;
;1896;0;;;
;1707;0;;;
;2028;0;;;
;2028;0;;;
;2020;0;;;
;4312;0;;;
;2655;0;;;
;2614;0;;;
;2498;0;;;
;3240;0;;;
;2399;0;;;
;3389;0;;;
;3058;0;;;
;3117;0;;;
;2581;0;;;
;1632;0;;;
;2243;0;;;
;2796;0;;;
;2960;0;;;
;2028;0;;;
;2021;0;;;
;2316;0;;;
;1838;0;;;
;2605;0;;;
;1962;0;;;
;1772;0;;;
;2450;0;;;
;4500;0;;;
;2586;0;;;
;2600;0;;;
;4290;0;;;
;2710;0;;;
;3200;0;;;
;4740;0;;;
;3564;0;;;
;6000;0;;;
;3170;0;;;
;5200;0;;;
;3200;0;;;
;3630;0;;;
;2634;0;;;
;4078;0;;;
;2860;0;;;
;4900;0;;;
;3400;0;;;
;3960;0;;;
;5930;0;;;
;4290;0;;;
;4490;0;;;
;5230;0;;;
;3080;0;;;
;3597;0;;;
;5222;0;;;
;2430;0;;;
;3000;0;;;
