Width (m);Depth (Thickness) (m);Attached;Channel;names;Equation
1370;192;0;Valley;Channel;T=0.34^(0.79). R2=0.78
3860;235;0;Valley;Valley;
3240;265;0;Valley;Channel/Valley complex;
1610;194;0;Valley;;
2610;250;0;Valley;;
3260;300;0;Valley;;
4500;540;0;Valley;;
4200;415;0;Valley;;
5900;475;0;Valley;;
11350;920;0;Valley;;
9300;680;0;Valley;;
8560;360;0;Valley;;
14300;460;0;Valley;;
12000;1000;0;Valley;;
17650;1090;0;Valley;;
7980;363;0;Valley;;
10770;314;0;Valley;;
10287;578;0;Valley;;
4300;260;0;Valley;;
31295;914;0;Valley;;
7579.471674;333.3153355;0;Valley;;
56931.68473;1279.146363;0;Valley;;
37892.49895;1983.032545;0;Valley;;
38624.24578;1208.900827;0;Valley;;
8312.568336;869.9566702;0;Valley;;
29761.21377;1567.215151;0;Valley;;
20457.99981;947.518324;0;Valley;;
15974.38009;1043.302782;0;Valley;;
10860.38632;937.3675472;0;Valley;;
5961.421649;674.8376821;0;Valley;;
14362.94427;978.7670586;0;Valley;;
13206.26864;732.0437887;0;Valley;;
12343.18265;620.182768;0;Valley;;
12914.16384;422.9850303;0;Valley;;
2660.529406;349.526882;0;Valley;;
2468.447552;376.3751468;0;Valley;;
2164.869133;334.9216419;0;Valley;;
1789.344384;304.0103668;0;Valley;;
1480.771567;215.2585613;0;Valley;;
1614.27048;218.3631872;0;Valley;;
831.0948531;102.7496187;0;Valley;;
1505.743558;164.3696935;0;Valley;;
1658.680129;139.08724;0;Valley;;
1952.809686;154.6103695;0;Valley;;
4349.040941;453.7208266;0;Valley;;
4409.108702;600.9880809;0;Valley;;
2871.508983;380.7891149;0;Valley;;
1518.567013;224.2214813;0;Valley;;
1474.292348;144.7295601;0;Valley;;
1379.938717;173.6835711;0;Valley;;
1775.711027;188.1133323;0;Valley;;
2874.883577;281.1306238;0;Valley;;
2042.978821;220.6174156;0;Valley;;
1781.110376;218.1472133;0;Valley;;
779.3960828;90.5875842;0;Valley;;
1899.356128;197.2652295;0;Valley;;
2158.389914;251.0967428;0;Valley;;
1944.575679;253.6479354;0;Valley;;
1933.911964;209.8862087;0;Valley;;
1301.378184;159.186318;0;Valley;;
1566.081287;211.560007;0;Valley;;
2165.544052;201.800683;0;Valley;;
1882.483161;214.5026524;0;Valley;;
1757.893174;258.1293954;0;Valley;;
2036.229634;219.7400213;0;Valley;;
2566.31076;183.4833903;0;Valley;;
2806.311839;226.6916837;0;Valley;;
1526.261086;141.3414684;0;Valley;;
1778.140734;157.4450279;0;Valley;;
4547.46703;314.2961273;0;Valley;;
6593.28051;590.3783594;0;Valley;;
8575.651634;706.3428857;0;Valley;;
5331.317576;470.2023406;0;Valley;;
4599.975703;353.5089022;0;Valley;;
9886.208712;719.3688161;0;Valley;;
12019.76162;931.3202759;0;Valley;;
8561.748309;728.439723;0;Valley;;
14216.6219;1113.426832;0;Valley;;
25085.78216;2193.242714;0;Valley;;
4500.627674;715.9807243;0;Valley;;
3823;272;0;Valley;;
3662;263;0;Valley;;
2356;130;0;Valley;;
1405.990578;100.8058529;0;Valley;;
5175;157;0;Valley;;
2158;119;0;Valley;;
1280;128;0;Valley;;
4300;285;0;Valley;;
2869;96;0;Valley;;
7382;246;0;Valley;;
2485;124;0;Valley;;
2997;132;0;Valley;;
2933;155;0;Valley;;
2235;120;0;Valley;;
2696;105;0;Valley;;
3340;130;0;Valley;;
3051;116;0;Valley;;
1896;120;0;Valley;;
1707;111;0;Valley;;
2028;130;0;Valley;;
2028;148;0;Valley;;
2020;100;0;Valley;;
4312;162;0;Valley;;
2655;78;0;Valley;;
2614;180;0;Valley;;
2498;92;0;Valley;;
3240;162;0;Valley;;
2399;192;0;Valley;;
3389;117;0;Valley;;
3058;109;0;Valley;;
3117;64;0;Valley;;
2581;66;0;Valley;;
1632;75;0;Valley;;
2243;84;0;Valley;;
2796;78;0;Valley;;
2960;47;0;Valley;;
2028;43;0;Valley;;
2021;69;0;Valley;;
2316;66;0;Valley;;
1838;47;0;Valley;;
2605;63;0;Valley;;
1962;73;0;Valley;;
1772;120;0;Valley;;
2450;284.1;0;Valley;;
4500;367.0;0;Valley;;
2586;222.3;0;Valley;;
2600;199.2;0;Valley;;
4290;272.6;0;Valley;;
2710;220.2;0;Valley;;
3200;199.2;0;Valley;;
4740;199.2;0;Valley;;
3564;178.2;0;Valley;;
6000;296.7;0;Valley;;
3170;195.0;0;Valley;;
5200;230.7;0;Valley;;
3200;199.2;0;Valley;;
3630;209.7;0;Valley;;
2634;166.7;0;Valley;;
4078;272.6;0;Valley;;
2860;167.8;0;Valley;;
4900;304.1;0;Valley;;
3400;220.2;0;Valley;;
3960;167.8;0;Valley;;
5930;178.2;0;Valley;;
4290;167.8;0;Valley;;
4490;220.2;0;Valley;;
5230;131.1;0;Valley;;
3080;157.3;0;Valley;;
3597;120.6;0;Valley;;
5222;227.5;0;Valley;;
2430;136.3;0;Valley;;
3000;208.7;0;Valley;;
2930;131.1;0;Valley;;
4900;157.3;0;Valley;;
2570;167.8;0;Valley;;
2550;204.5;0;Valley;;
1839;220.2;0;Valley;;
3182;143.6;0;Valley;;
3182;229.6;0;Valley;;
2204;167.8;0;Valley;;
2620;195.0;0;Valley;;
3030;190.8;0;Valley;;
2850;204.5;0;Valley;;
2170;192.9;0;Valley;;
2570;167.8;0;Valley;;
2500;162.5;0;Valley;;
3000;200;0;Valley;;
2700;130;0;Valley;;
5200;180;0;Valley;;
2000;100;0;Valley;;
3500;145;0;Valley;;
3100;200;0;Valley;;
