Area (km2);Length (km);Attached;Fan;Architectural element;Equation;x;y regression;prediction lower boundary;prediction upper boundary
312.02;24.39;1;;Fan;L = 2.14A^(0.46). R2 = 0.97;;;;182.2145013
295.62;22.68;1;;Fan-element;;0.001;0.089210048;;182.3037114
574.39;28.17;1;;;;0.01;0.257284589;;182.4717859
361.67;26.77;1;;;;0.1;0.74201686;;182.9565181
2136.30;81.21;1;;;;1;2.14;;184.354501
1520.46;53.17;1;;;;2;2.943659491;;185.1581602
529.29;33.41;1;;;;3;3.547231648;;185.761732
753.40;55.18;1;;;;4;4.049126728;;186.2636267
2780.83;90.36;1;;;;5;4.486833723;;186.7013334
544.78;27.19;1;;;;6;4.879365471;;187.0938648
1355.57;40.12;1;;;;7;5.237920129;;187.4524192
796.21;40.18;1;;;;8;5.569743141;;187.7842418
851.79;36.28;1;;;;9;5.879837554;;188.0943359
755.22;41.46;1;;;;10;6.171827417;;188.3863255
937.42;74.02;1;;;;11;6.448436218;;188.6629339
1099.12;43.59;1;;;;12;6.711771251;;188.9262686
5824.00;138.00;1;;;;13;6.963502172;;189.1779992
1644.81;64.75;1;;;;14;7.204978178;;189.4194749
689.63;49.69;1;;;;15;7.437307748;;189.6518042
116.00;17.00;1;;;;16;7.661414607;;189.8759107
1077.26;43.29;1;;;;17;7.878078014;;190.0925738
655.46;33.17;1;;;;18;8.087962439;;190.3024579
609.00;38.41;1;;;;19;8.291639844;;190.506135
1331.43;54.69;1;;;;20;8.489606706;;190.7041015
257.81;23.47;1;;;;21;8.68229722;;190.8967917
1852.06;54.32;1;;;;22;8.870093679;;191.0845878
1061.32;40.36;1;;;;23;9.053334731;;191.2678285
936.96;49.93;1;;;;24;9.232322029;;191.4468155
1296.35;74.69;1;;;;25;9.407325633;;191.6218188
885.00;36.00;1;;;;26;9.578588439;;191.7930813
4173.00;98.00;1;;;;27;9.746329839;;191.9608223
1132.83;42.07;1;;;;28;9.910748782;;192.1252409
737.00;50.61;1;;;;29;10.07202633;;192.2865182
764.78;37.56;1;;;;30;10.23032782;;192.4448193
552.07;33.47;1;;;;31;10.38580472;;192.6002959
122.53;13.11;1;;;;32;10.53859618;;192.753087
675.51;38.72;1;;;;33;10.68883039;;192.9033209
676.87;34.81;1;;;;34;10.83662576;;193.051116
687.35;40.06;1;;;;35;10.9820919;;193.1965818
2031.07;57.19;1;;;;36;11.12533056;;193.3398201
2214.64;84.99;1;;;;37;11.26643632;;193.4809255
207.71;17.32;1;;;;38;11.40549735;;193.6199862
972.95;49.39;1;;;;39;11.54259593;;193.7570845
592.61;32.07;1;;;;40;11.67780904;;193.8922973
403.57;25.30;1;;;;41;11.81120881;;194.0256967
9603.31;190.53;1;;;;42;11.9428629;;194.1573505
1182.02;59.14;1;;;;43;12.07283494;;194.2873222
1757.32;89.38;1;;;;44;12.20118479;;194.4156717
7204.19;150.90;1;;;;45;12.32796889;;194.5424555
6112.35;110.84;1;;;;46;12.45324052;;194.6677268
3376.62;103.77;1;;;;47;12.57705002;;194.791536
11787.43;251.93;1;;;;48;12.69944503;;194.9139307
8011.79;145.11;1;;;;49;12.82047069;;195.034956
3821.65;124.01;1;;;;50;12.94016981;;195.1546548
1863.00;112.79;1;;;;51;13.05858302;;195.2730677
1283.14;113.40;1;;;;52;13.17574896;;195.3902333
3005.84;74.38;1;;;;53;13.29170437;;195.5061884
1650.73;84.75;1;;;;54;13.40648427;;195.6209679
2977.15;105.23;1;;;;55;13.520122;;195.7346053
6009.87;135.48;1;;;;56;13.6326494;;195.8471324
156.24;19.75;1;;;;57;13.74409685;;195.9585795
76.98;27.38;1;;;;58;13.85449341;;196.0689758
66.50;17.32;1;;;;59;13.96386684;;196.1783489
81.08;15.49;1;;;;60;14.07224373;;196.2867254
156.69;22.44;1;;;;61;14.17964955;;196.3941309
36.44;10.85;1;;;;62;14.28610871;;196.5005898
40.08;16.46;1;;;;63;14.39164462;;196.6061254
0.41;1.28;1;;;;64;14.49627975;;196.7107602
0.18;0.61;1;;;;65;14.60003569;;196.8145158
0.82;1.71;1;;;;66;14.70293319;;196.9174129
1.18;3.78;1;;;;67;14.80499219;;197.0194716
1.14;2.26;1;;;;68;14.90623189;;197.120711
3.42;5.55;1;;;;69;15.00667078;;197.2211496
0.73;1.22;1;;;;70;15.10632666;;197.3208051
2.28;2.80;1;;;;71;15.20521669;;197.4196948
2.78;2.99;1;;;;72;15.30335742;;197.5178352
0.46;1.59;1;;;;73;15.40076482;;197.6152423
4.92;4.63;1;;;;74;15.4974543;;197.7119315
2.96;2.56;1;;;;75;15.59344075;;197.8079176
1.37;2.56;1;;;;76;15.68873856;;197.9032151
8.06;11.28;1;;;;77;15.78336162;;197.9978378
0.32;1.04;1;;;;78;15.87732339;;198.0917992
0.41;1.04;1;;;;79;15.97063688;;198.1851124
0.41;1.10;1;;;;80;16.06331468;;198.2777899
4.33;4.39;1;;;;81;16.155369;;198.3698439
3.37;4.39;1;;;;82;16.24681164;;198.4612862
2.37;4.51;1;;;;83;16.33765406;;198.5521283
1.32;2.01;1;;;;84;16.42790735;;198.6423812
443.66;36.76;1;;;;85;16.51758229;;198.7320559
338.44;35.30;1;;;;86;16.60668932;;198.8211626
552.52;40.61;1;;;;87;16.69523858;;198.9097115
281.95;38.90;1;;;;88;16.7832399;;198.9977125
649.09;51.64;1;;;;89;16.87070286;;199.0851751
1094.11;64.14;1;;;;90;16.95763674;;199.1721087
627.68;36.40;1;;;;91;17.04405056;;199.2585222
698.28;54.69;1;;;;92;17.1299531;;199.3444244
494.67;36.46;1;;;;93;17.2153529;;199.4298238
461.42;50.85;1;;;;94;17.30025825;;199.5147289
972.95;50.06;1;;;;95;17.38467723;;199.5991475
327.50;52.86;1;;;;96;17.46861771;;199.6830877
491.03;44.75;1;;;;97;17.55208733;;199.766557
318.85;24.94;1;;;;98;17.63509356;;199.8495629
435.91;51.64;1;;;;99;17.71764366;;199.9321127
241.87;31.52;1;;;;100;17.7997447;;200.0142134
;30.00;1;;;;101;17.88140358;;200.0958719
70.00;13.20;1;;;;102;17.96262703;;200.177095
58.00;8.70;1;;;;103;18.04342159;;200.2578893
53.00;12.20;1;;;;104;18.12379367;;200.338261
47.00;14.10;1;;;;105;18.20374951;;200.4182166
45.00;11.70;1;;;;106;18.2832952;;200.4977619
45.00;11.60;1;;;;107;18.36243667;;200.5769031
45.00;11.70;1;;;;108;18.44117974;;200.6556458
42.00;6.00;1;;;;109;18.51953007;;200.7339958
