Area (km2);Width (km);Attached/Fan-type;Fans;Plot-types;Equation;;;;
312.02;14.45;1;;Fan;W = 0.78A^(0.51). R2 = 0.96;;;;
295.62;14.82;1;;Fan-Element;;;;;
574.39;21.71;1;;;;;;;
361.67;12.56;1;;;;;;;
2136.30;27.99;1;;;;;;;
1520.46;32.13;1;;;;;;;
529.29;15.91;1;;;;;;;
753.40;14.08;1;;;;;;;
2780.83;40.06;1;;;;;;;
544.78;20.97;1;;;;;;;
1355.57;32.62;1;;;;;;;
796.21;25.79;1;;;;;;;
851.79;28.41;1;;;;;;;
755.22;19.21;1;;;;;;;
937.42;16.71;1;;;;;;;
1099.12;28.96;1;;;;;;;
5824.00;51.00;1;;;;;;;
1644.81;28.72;1;;;;;;;
689.63;15.06;1;;;;;;;
116.00;8.00;1;;;;;;;
1077.26;26.77;1;;;;;;;
655.46;24.39;1;;;;;;;
609.00;16.64;1;;;;;;;
1331.43;25.30;1;;;;;;;
257.81;11.89;1;;;;;;;
1852.06;38.65;1;;;;;;;
1061.32;30.36;1;;;;;;;
936.96;15.79;1;;;;;;;
1296.35;24.27;1;;;;;;;
885.00;31.00;1;;;;;;;
4173.00;58.00;1;;;;;;;
1132.83;30.24;1;;;;;;;
737.00;15.79;1;;;;;;;
764.78;21.64;1;;;;;;;
552.07;16.58;1;;;;;;;
122.53;10.49;1;;;;;;;
675.51;22.68;1;;;;;;;
676.87;19.08;1;;;;;;;
687.35;18.90;1;;;;;;;
2031.07;39.08;1;;;;;;;
2214.64;30.97;1;;;;;;;
207.71;13.11;1;;;;;;;
972.95;21.58;1;;;;;;;
592.61;21.16;1;;;;;;;
403.57;19.02;1;;;;;;;
9603.31;59.51;1;;;;;;;
1182.02;21.03;1;;;;;;;
1757.32;24.02;1;;;;;;;
7204.19;74.38;1;;;;;;;
6112.35;60.36;1;;;;;;;
3376.62;46.40;1;;;;;;;
11787.43;85.05;1;;;;;;;
8011.79;78.04;1;;;;;;;
3821.65;49.26;1;;;;;;;
1863.00;18.72;1;;;;;;;
1283.14;12.74;1;;;;;;;
3005.84;45.12;1;;;;;;;
1650.73;30.24;1;;;;;;;
2977.15;34.14;1;;;;;;;
6009.87;53.35;1;;;;;;;
156.24;9.15;1;;;;;;;
76.98;3.54;1;;;;;;;
66.50;4.08;1;;;;;;;
81.08;4.76;1;;;;;;;
156.69;11.28;1;;;;;;;
36.44;5.61;1;;;;;;;
40.08;2.56;1;;;;;;;
0.41;0.61;1;;;;;;;
0.18;0.43;1;;;;;;;
0.82;0.55;1;;;;;;;
1.18;0.43;1;;;;;;;
1.14;0.55;1;;;;;;;
3.42;0.79;1;;;;;;;
0.73;1.10;1;;;;;;;
2.28;1.40;1;;;;;;;
2.78;1.10;1;;;;;;;
0.46;0.37;1;;;;;;;
