Length (km);Width (km);Attached;Fan;Architectural element;Equation;;;;
24.39;14.45;1;;Fan;W = 0.43L^(1.03). R2 = 0.87;;;;
22.68;14.82;1;;Fan-element;;;;;
28.17;21.71;1;;;;;;;
26.77;12.56;1;;;;;;;
81.21;27.99;1;;;;;;;
53.17;32.13;1;;;;;;;
33.41;15.91;1;;;;;;;
55.18;14.08;1;;;;;;;
90.36;40.06;1;;;;;;;
27.19;20.97;1;;;;;;;
40.12;32.62;1;;;;;;;
40.18;25.79;1;;;;;;;
36.28;28.41;1;;;;;;;
41.46;19.21;1;;;;;;;
74.02;16.71;1;;;;;;;
43.59;28.96;1;;;;;;;
138.00;51.00;1;;;;;;;
64.75;28.72;1;;;;;;;
49.69;15.06;1;;;;;;;
17.00;8.00;1;;;;;;;
43.29;26.77;1;;;;;;;
33.17;24.39;1;;;;;;;
38.41;16.64;1;;;;;;;
54.69;25.30;1;;;;;;;
23.47;11.89;1;;;;;;;
54.32;38.65;1;;;;;;;
40.36;30.36;1;;;;;;;
49.93;15.79;1;;;;;;;
74.69;24.27;1;;;;;;;
36.00;31.00;1;;;;;;;
98.00;58.00;1;;;;;;;
42.07;30.24;1;;;;;;;
50.61;15.79;1;;;;;;;
37.56;21.64;1;;;;;;;
33.47;16.58;1;;;;;;;
13.11;10.49;1;;;;;;;
38.72;22.68;1;;;;;;;
34.81;19.08;1;;;;;;;
40.06;18.90;1;;;;;;;
57.19;39.08;1;;;;;;;
84.99;30.97;1;;;;;;;
17.32;13.11;1;;;;;;;
49.39;21.58;1;;;;;;;
32.07;21.16;1;;;;;;;
25.30;19.02;1;;;;;;;
190.53;59.51;1;;;;;;;
59.14;21.03;1;;;;;;;
89.38;24.02;1;;;;;;;
150.90;74.38;1;;;;;;;
110.84;60.36;1;;;;;;;
103.77;46.40;1;;;;;;;
251.93;85.05;1;;;;;;;
145.11;78.04;1;;;;;;;
124.01;49.26;1;;;;;;;
112.79;18.72;1;;;;;;;
113.40;12.74;1;;;;;;;
74.38;45.12;1;;;;;;;
84.75;30.24;1;;;;;;;
105.23;34.14;1;;;;;;;
135.48;53.35;1;;;;;;;
19.75;9.15;1;;;;;;;
27.38;3.54;1;;;;;;;
17.32;4.08;1;;;;;;;
15.49;4.76;1;;;;;;;
22.44;11.28;1;;;;;;;
10.85;5.61;1;;;;;;;
16.46;2.56;1;;;;;;;
1.28;0.61;1;;;;;;;
0.61;0.43;1;;;;;;;
1.71;0.55;1;;;;;;;
3.78;0.43;1;;;;;;;
2.26;0.55;1;;;;;;;
5.55;0.79;1;;;;;;;
1.22;1.10;1;;;;;;;
2.80;1.40;1;;;;;;;
2.99;1.10;1;;;;;;;
1.59;0.37;1;;;;;;;
4.63;1.10;1;;;;;;;
2.56;1.40;1;;;;;;;
2.56;0.55;1;;;;;;;
11.28;0.79;1;;;;;;;
1.04;0.30;1;;;;;;;
1.04;0.37;1;;;;;;;
1.10;0.49;1;;;;;;;
4.39;1.28;1;;;;;;;
4.39;2.19;1;;;;;;;
4.51;0.91;1;;;;;;;
2.01;0.91;1;;;;;;;
36.76;17.25;1;;;;;;;
35.30;13.29;1;;;;;;;
40.61;14.39;1;;;;;;;
38.90;6.65;1;;;;;;;
51.64;14.15;1;;;;;;;
64.14;17.07;1;;;;;;;
36.40;11.46;1;;;;;;;
54.69;20.12;1;;;;;;;
36.46;16.52;1;;;;;;;
50.85;13.78;1;;;;;;;
50.06;21.34;1;;;;;;;
52.86;5.73;1;;;;;;;
44.75;12.80;1;;;;;;;
24.94;15.43;1;;;;;;;
51.64;9.02;1;;;;;;;
31.52;10.73;1;;;;;;;
30.00;20.00;1;;;;;;;
13.20;7.35;1;;;;;;;
8.70;6.55;1;;;;;;;
12.20;6.95;1;;;;;;;
14.10;4.65;1;;;;;;;
11.70;5.25;1;;;;;;;
11.60;2.85;1;;;;;;;
