Width (km);Thickness (max m);Attached;Fan;Architectural type;Equation;;;;
14.45;109.00;1;;Fan;T = 5.74W^(0.79). R2 = 0.80;;;;
14.82;101.00;1;;Fan-element;;;;;
21.71;106.00;1;;;;;;;
12.56;98.00;1;;;;;;;
27.99;120.00;1;;;;;;;
32.13;133.00;1;;;;;;;
15.91;99.00;1;;;;;;;
14.08;23.00;1;;;;;;;
40.06;63.00;1;;;;;;;
20.97;93.00;1;;;;;;;
32.62;91.00;1;;;;;;;
25.79;68.00;1;;;;;;;
28.41;101.00;1;;;;;;;
19.21;85.00;1;;;;;;;
16.71;93.00;1;;;;;;;
28.96;57.00;1;;;;;;;
51.00;173.00;1;;;;;;;
28.72;87.00;1;;;;;;;
15.06;87.00;1;;;;;;;
8.00;37.00;1;;;;;;;
26.77;82.00;1;;;;;;;
24.39;99.00;1;;;;;;;
16.64;43.00;1;;;;;;;
25.30;82.00;1;;;;;;;
11.89;58.00;1;;;;;;;
38.65;89.00;1;;;;;;;
30.36;101.00;1;;;;;;;
15.79;91.00;1;;;;;;;
24.27;82.00;1;;;;;;;
31.00;68.00;1;;;;;;;
58.00;197.00;1;;;;;;;
30.24;84.00;1;;;;;;;
15.79;126.00;1;;;;;;;
21.64;30.00;1;;;;;;;
16.58;45.00;1;;;;;;;
10.49;53.00;1;;;;;;;
22.68;78.00;1;;;;;;;
19.08;122.00;1;;;;;;;
18.90;49.00;1;;;;;;;
39.08;112.00;1;;;;;;;
30.97;30.00;1;;;;;;;
13.11;86.00;1;;;;;;;
21.58;109.00;1;;;;;;;
21.16;50.00;1;;;;;;;
19.02;47.00;1;;;;;;;
59.51;30.00;1;;;;;;;
21.03;81.00;1;;;;;;;
24.02;57.00;1;;;;;;;
74.38;;1;;;;;;;
60.36;;1;;;;;;;
46.40;;1;;;;;;;
85.05;;1;;;;;;;
78.04;;1;;;;;;;
49.26;;1;;;;;;;
18.72;;1;;;;;;;
12.74;;1;;;;;;;
45.12;;1;;;;;;;
30.24;;1;;;;;;;
34.14;;1;;;;;;;
53.35;;1;;;;;;;
9.15;40.00;1;;;;;;;
3.54;40.00;1;;;;;;;
4.08;40.00;1;;;;;;;
4.76;40.00;1;;;;;;;
11.28;40.00;1;;;;;;;
5.61;40.00;1;;;;;;;
2.56;40.00;1;;;;;;;
0.61;;1;;;;;;;
0.43;;1;;;;;;;
0.55;;1;;;;;;;
0.43;;1;;;;;;;
0.55;;1;;;;;;;
0.79;;1;;;;;;;
1.10;;1;;;;;;;
1.40;;1;;;;;;;
1.10;;1;;;;;;;
0.37;;1;;;;;;;
1.10;;1;;;;;;;
1.40;;1;;;;;;;
0.55;;1;;;;;;;
0.79;;1;;;;;;;
0.30;;1;;;;;;;
0.37;;1;;;;;;;
0.49;;1;;;;;;;
1.28;;1;;;;;;;
2.19;;1;;;;;;;
0.91;;1;;;;;;;
0.91;;1;;;;;;;
17.25;25.00;1;;;;;;;
13.29;15.00;1;;;;;;;
14.39;20.00;1;;;;;;;
6.65;10.00;1;;;;;;;
14.15;;1;;;;;;;
17.07;;1;;;;;;;
11.46;;1;;;;;;;
20.12;;1;;;;;;;
16.52;15.00;1;;;;;;;
13.78;;1;;;;;;;
21.34;;1;;;;;;;
5.73;;1;;;;;;;
12.80;10.00;1;;;;;;;
15.43;10.00;1;;;;;;;
9.02;10.00;1;;;;;;;
10.73;10.00;1;;;;;;;
20.00;50.00;1;;;;;;;
7.35;40.40;1;;;;;;;
6.55;24.00;1;;;;;;;
6.95;27.20;1;;;;;;;
4.65;37.40;1;;;;;;;
5.25;20.00;1;;;;;;;
2.85;20.00;1;;;;;;;
3.35;20.00;1;;;;;;;
3.75;25.00;1;;;;;;;
5.15;29.20;1;;;;;;;
3.75;25.00;1;;;;;;;
2.65;14.40;1;;;;;;;
3.65;19.60;1;;;;;;;
2.15;15.60;1;;;;;;;
2.45;19.60;1;;;;;;;
1.45;12.80;1;;;;;;;
0.95;9.80;1;;;;;;;
1.75;8.80;1;;;;;;;
2.55;9.20;1;;;;;;;
45.91;50.00;1;;;;;;;
21.60;170.00;1;;;;;;;
5.00;25.80;1;;;;;;;
4.00;33.90;1;;;;;;;
5.00;26.70;1;;;;;;;
2.50;42.00;1;;;;;;;
6.00;46.80;1;;;;;;;
4.70;42.80;1;;;;;;;
5.00;33.90;1;;;;;;;
3.00;34.70;1;;;;;;;
7.00;46.00;1;;;;;;;
1.80;33.10;1;;;;;;;
