Area (km2);Volume (km3);Attached;MTD;Arcitectural Structure;Equation;;;;;;;;;;;;
120000;24500;1;;Attached MTDs;V = 0.026A^(1.14).  R2 = 0.91;;;;;;;;;;;;
115000;25500;1;;Detached MTDs;V = 0.018A^(1.19). R2 = 0.85;;;;;;;;;;;;
79488;20331;1;;All MTDs;V = 0.025A^(1.18). R2 = 0.81;;;;;;;;;;;;
68688;17433;1;;;;;;;;;;;;;;;
66000;11600;1;;;;;;;;;;;;;;;
50000;80000;1;;;;;;;;;;;;;;;
48000;1100;1;;;;;;;;;;;;;;;
47952;8790;1;;;;;;;;;;;;;;;
47952;1130;1;;;;;;;;;;;;;;;
40000;400;1;;;;;;;;;;;;;;;
38740;1310;1;;;;;;;;;;;;;;;
33696;4549;1;;;;;;;;;;;;;;;
30000;600;1;;;;;;;;;;;;;;;
28512;3849;1;;;;;;;;;;;;;;;
27000;1400;1;;;;;;;;;;;;;;;
23700;5214;1;;;;;;;;;;;;;;;
20278;780;1;;;;;;;;;;;;;;;
14000;1200;1;;;;;;;;;;;;;;;
12900;205;1;;;;;;;;;;;;;;;
11000;610;1;;;;;;;;;;;;;;;
10500;680;1;;;;;;;;;;;;;;;
10000;2000;1;;;;;;;;;;;;;;;
9600;1250;1;;;;;;;;;;;;;;;
8000;960;1;;;;;;;;;;;;;;;
7700;1078;1;;;;;;;;;;;;;;;
6800;1088;1;;;;;;;;;;;;;;;
6200;300;1;;;;;;;;;;;;;;;
5530;138.3;1;;;;;;;;;;;;;;;
5509;148;1;;;;;;;;;;;;;;;
5500;1000;1;;;;;;;;;;;;;;;
4800;1000;1;;;;;;;;;;;;;;;
4000;1400;1;;;;;;;;;;;;;;;
3940;962;1;;;;;;;;;;;;;;;
3400;3150;1;;;;;;;;;;;;;;;
3300;1000;1;;;;;;;;;;;;;;;
3200;1280;1;;;;;;;;;;;;;;;
3101;246;1;;;;;;;;;;;;;;;
3000;1200;1;;;;;;;;;;;;;;;
3000;600;1;;;;;;;;;;;;;;;
2913;70.4;1;;;;;;;;;;;;;;;
2742;82.3;1;;;;;;;;;;;;;;;
2500;700;1;;;;;;;;;;;;;;;
2460;119.9;1;;;;;;;;;;;;;;;
2400;432;1;;;;;;;;;;;;;;;
2040;734;1;;;;;;;;;;;;;;;
2028;322;1;;;;;;;;;;;;;;;
2017;242;1;;;;;;;;;;;;;;;
2000;26;1;;;;;;;;;;;;;;;
1972;88.7;1;;;;;;;;;;;;;;;
1900;228;1;;;;;;;;;;;;;;;
1800;130;1;;;;;;;;;;;;;;;
1756;43.9;1;;;;;;;;;;;;;;;
1674;70;1;;;;;;;;;;;;;;;
1600;1830;1;;;;;;;;;;;;;;;
1500;1050;1;;;;;;;;;;;;;;;
1500;180;1;;;;;;;;;;;;;;;
1497.7;67.4;1;;;;;;;;;;;;;;;
1394;51.4;1;;;;;;;;;;;;;;;
