Thickness (m);Volume (km3);Attached;MTD;Architectural Structure;Equation;;;;
4000;80000;1;;Attached MTDs;V = 0.0009T^(2.1445). R2 = 0.5261;;;;
1300;3150;1;;Detached MTDs;V = 0.045T^(1.69). R2 = 0.58;;;;
800;170;1;;All MTDs;V = 0.0014T^(1.69). R2 = 0.53;;;;
700;1050;1;;;;;;;
680;455;1;;;;;;;
500;25500;1;;;;;;;
500;24500;1;;;;;;;
480;962;1;;;;;;;
450;1830;1;;;;;;;
400;1280;1;;;;;;;
400;1200;1;;;;;;;
400;80;1;;;;;;;
360;734;1;;;;;;;
350;1400;1;;;;;;;
300;1000;1;;;;;;;
297;20331;1;;;;;;;
280;700;1;;;;;;;
254;17433;1;;;;;;;
250;242;1;;;;;;;
250;167;1;;;;;;;
250;20;1;;;;;;;
237;260;1;;;;;;;
233;180;1;;;;;;;
220;5214;1;;;;;;;
206;8790;1;;;;;;;
206;1130;1;;;;;;;
200;1000;1;;;;;;;
200;600;1;;;;;;;
200;46;1;;;;;;;
193;135;1;;;;;;;
181;1000;1;;;;;;;
180;432;1;;;;;;;
177;42.5;1;;;;;;;
175;11600;1;;;;;;;
175;44;1;;;;;;;
175;20;1;;;;;;;
160;1088;1;;;;;;;
150;60;1;;;;;;;
150;26;1;;;;;;;
140;1078;1;;;;;;;
135;4549;1;;;;;;;
135;3849;1;;;;;;;
130;1250;1;;;;;;;
120;228;1;;;;;;;
118;960;1;;;;;;;
96;15.2;1;;;;;;;
90;1400;1;;;;;;;
90;1200;1;;;;;;;
85;35;1;;;;;;;
80;600;1;;;;;;;
72;130;1;;;;;;;
65;7;1;;;;;;;
62.5;300;1;;;;;;;
60;35;1;;;;;;;
60;7.9;1;;;;;;;
60;7.27;1;;;;;;;
56;9.4;1;;;;;;;
56;9.4;1;;;;;;;
53;27.6;1;;;;;;;
50;1100;1;;;;;;;
50;36;1;;;;;;;
50;30;1;;;;;;;
50;11.7;1;;;;;;;
50;0.5;1;;;;;;;
45;7;1;;;;;;;
41;12.1;1;;;;;;;
40;15.1;1;;;;;;;
33;6.8;1;;;;;;;
32;30;1;;;;;;;
30;0.7;1;;;;;;;
20;400;1;;;;;;;
20;0.4;1;;;;;;;
12.5;680;1;;;;;;;
10;0.4;1;;;;;;;
17.59;2.98;1;;;;;;;
18.49;1.99;1;;;;;;;
18.44;1.09;1;;;;;;;
21.06;9.52;1;;;;;;;
11.35;1.81;1;;;;;;;
23.17;7.1;1;;;;;;;
32.08;18.26;1;;;;;;;
25.99;21.49;1;;;;;;;
22.42;10.53;1;;;;;;;
15.4;3.67;1;;;;;;;
37.4;17.33;1;;;;;;;
